source_lang,source_text,target_text,target_lang
<en>,hello,bonjour,<2fr>
<en>,hello,hola,<2es>
<en>,hello,hallo,<2de>
<en>,hello,ciao,<2it>
<en>,hello,नमस्कार,<2hi>
<en>,how are you,comment vas tu,<2fr>
<en>,how are you,cómo estás,<2es>
<en>,how are you,wie geht es dir,<2de>
<en>,how are you,come stai,<2it>
<en>,how are you,आप कैसे हैं,<2hi>
<en>,i am fine,je vais bien,<2fr>
<en>,i am fine,estoy bien,<2es>
<en>,i am fine,mir geht es gut,<2de>
<en>,i am fine,sto bene,<2it>
<en>,i am fine,मैं ठीक हूँ,<2hi>
<en>,good morning,bonjour,<2fr>
<en>,good morning,buenos días,<2es>
<en>,good morning,guten morgen,<2de>
<en>,good morning,buongiorno,<2it>
<en>,good morning,सुप्रभात,<2hi>
<en>,goodbye,au revoir,<2fr>
<en>,goodbye,adiós,<2es>
<en>,goodbye,auf wiedersehen,<2de>
<en>,goodbye,arrivederci,<2it>
<en>,goodbye,अलविदा,<2hi>
<en>,thank you,merci,<2fr>
<en>,thank you,gracias,<2es>
<en>,thank you,danke,<2de>
<en>,thank you,grazie,<2it>
<en>,thank you,धन्यवाद,<2hi>
<en>,welcome,bienvenido,<2fr>
<en>,welcome,bienvenido,<2es>
<en>,welcome,guten tag,<2de>
<en>,welcome,buongiorno,<2it>
<en>,welcome,स्वागत,<2hi>
